Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Barcelonès,S,FEM,13,113,Barcelona,'16,312728.83999999997
Vallès Oriental,S,FEM,41,3,Lliçà de Vall,'16,7783.2
Vallès Oriental,S,PSGJ,41,30,Montmeló,'16,168750
Vallès Occidental,S,DPGJ,40,17,Terrassa,'16,1236
Barcelonès,N,TRFO,13,149,Barcelona,'16,2073590.2
Vallès Oriental,N,TRFO,41,5,Parets del Vallès,'16,60045
Baix Llobregat,N,SAC,11,135,Martorell,'16,67230
Baix Llobregat,N,FOQ,11,30,Sant Esteve Sesrovires,'16,59290.5
Barcelonès,N,REEM,13,5,Sant Adrià de Besòs,'16,1248.24
Vallès Occidental,N,PRMI,40,6,Sant Cugat del Vallès,'16,66020
Vallès Occidental,N,FEM,40,77,Sabadell,'16,338800
Vallès Occidental,S,SUMA,40,18,Montcada i Reixac,'16,67326
Vallès Oriental,N,TRFO,41,5,Sant Celoni,'16,59114.8
Baix Llobregat,S,JENP,11,43,"Prat de Llobregat, el",'16,473000
Vallès Occidental,N,FI45,40,1,Montcada i Reixac,'16,12000
Vallès Occidental,N,FOQ,40,60,Santa Perpètua de Mogoda,'16,189621
Baix Llobregat,S,FEM,11,22,Viladecans,'16,56893.03
Vallès Oriental,N,REEM,41,40,Granollers,'16,9985.92
Vallès Occidental,S,JENP,40,5,Montcada i Reixac,'16,55000
Baix Llobregat,N,ARIF,11,125,"Prat de Llobregat, el",'16,64850
Vallès Occidental,N,REEM,40,15,Cerdanyola del Vallès,'16,3744.72
Baix Llobregat,N,AODL,11,2,Molins de Rei,'16,54091.1
Vallès Oriental,N,TRFO,41,6,Montornès del Vallès,'16,70178
Vallès Occidental,N,FPOT,40,301,Cerdanyola del Vallès,'16,112800
Vallès Oriental,N,FOQ,41,15,"Franqueses del Vallès, les",'16,38115
Vallès Occidental,N,FOQ,40,60,Badia del Vallès,'16,157645.5
Baix Llobregat,S,FEM,11,7,Sant Boi de Llobregat,'16,26268.3
Baix Llobregat,S,SUMA,11,1,Sant Feliu de Llobregat,'16,1945.8
Vallès Occidental,S,XIMP,40,2,Sabadell,'16,64000
Baix Llobregat,S,XIMP,11,1,Esplugues de Llobregat,'16,32000
Baix Llobregat,N,FEM,11,24,Viladecans,'16,105600
Vallès Oriental,S,JENP,41,4,"Ametlla del Vallès, l'",'16,44000
Baix Llobregat,N,CC,11,15,Viladecans,'16,66528
Barcelonès,N,PRMI,13,81,Barcelona,'16,921692.1
Vallès Oriental,S,JENP,41,1,Santa Eulàlia de Ronçana,'16,11000
Vallès Oriental,N,SAC,41,130,"Garriga, la",'16,64740
Vallès Occidental,S,SUMA,40,135,Terrassa,'16,558145
Vallès Oriental,N,ARIF,41,125,Granollers,'16,64850
