Comarca,Garantía_juv,Servei_Ocu,Cod_com,Personas,Municipi,Any,Import
Baix Llobregat,N,CC,11,15,"Prat de Llobregat, el",'17,131214
Baix Llobregat,N,COOR,11,1,"Prat de Llobregat, el",'17,28000
Barcelonès,N,FOQ,13,975,Santa Coloma de Gramenet,'17,1965334.5
Baix Llobregat,N,UBIC,11,47,Gavà,'17,20905.6
Baix Llobregat,N,CIF,11,171,Sant Feliu de Llobregat,'17,331078.99000000005
Baix Llobregat,S,SUMA,11,9,Sant Joan Despí,'17,26411.12
Barcelonès,N,DAM,13,255,Santa Coloma de Gramenet,'17,772749
Baix Llobregat,N,30P,11,2,Gavà,'17,11156.740000000002
Vallès Occidental,N,REEM,40,10,Barberà del Vallès,'17,2496.48
Baix Llobregat,N,FEM,11,1,Cervelló,'17,2948.4
Vallès Occidental,N,FEM,40,1,Sentmenat,'17,1965.6
Vallès Occidental,N,TRFO,40,15,Cerdanyola del Vallès,'17,200095
Barcelonès,N,TRFO,13,85,"Hospitalet de Llobregat, l'",'17,1059983.5
Baix Llobregat,N,FOQ,11,215,Sant Boi de Llobregat,'17,421576.5
Baix Llobregat,N,IPIS,11,125,Martorell,'17,61096.21
Vallès Oriental,N,FEM,41,3,Sant Antoni de Vilamajor,'17,10613.94
Barcelonès,N,30P,13,26,Badalona,'17,108546.09
Baix Llobregat,S,SUMA,11,4,Sant Boi de Llobregat,'17,12143.04
Vallès Occidental,N,30P,40,4,Sant Cugat del Vallès,'17,12328.240000000002
Vallès Occidental,S,SUMA,40,2,Sant Cugat del Vallès,'17,4914
Vallès Occidental,N,FPOS,40,576,Barberà del Vallès,'17,189322
Baix Llobregat,N,30P,11,20,"Prat de Llobregat, el",'17,84152.87000000001
Vallès Occidental,S,PIGJ,40,115,Terrassa,'17,709454.1699999999
Baix Llobregat,N,30P,11,15,Castelldefels,'17,65220.9
Baix Llobregat,N,PRMI,11,5,Sant Vicenç dels Horts,'17,56655
Baix Llobregat,N,TB,11,155,Olesa de Montserrat,'17,106273.48
Barcelonès,N,TRFO,13,84,Badalona,'17,1082705.9
Vallès Oriental,N,SAC,41,20,Parets del Vallès,'17,9500
Vallès Oriental,N,PRMI,41,7,Mollet del Vallès,'17,75460
Vallès Oriental,N,FPOS,41,291,Mollet del Vallès,'17,137980
Baix Llobregat,S,JENP,11,5,Viladecans,'17,55000
Baix Llobregat,N,30P,11,20,Castelldefels,'17,88000
Barcelonès,N,COOR,13,3,Badalona,'17,60666.659999999996
Baix Llobregat,N,TB,11,225,Cornellà de Llobregat,'17,148693.17
Barcelonès,N,CIF,13,138,Santa Coloma de Gramenet,'17,214154.44
Vallès Occidental,N,TRFO,40,7,Santa Perpètua de Mogoda,'17,89764.5
Vallès Oriental,N,FEM,41,2,"Ametlla del Vallès, l'",'17,5896.8
Barcelonès,N,PRMI,13,18,Santa Coloma de Gramenet,'17,226200
Baix Llobregat,N,AODL,11,2,Martorell,'17,53807.950000000004
Vallès Occidental,N,TRFO,40,70,Sabadell,'17,876712.3
Vallès Occidental,N,FPOT,40,247,Cerdanyola del Vallès,'17,71740
Barcelonès,S,FEM,13,120,Barcelona,'17,524096
Vallès Occidental,N,PRMI,40,5,Castellar del Vallès,'17,58683
Baix Llobregat,N,PRMI,11,11,Cornellà de Llobregat,'17,122600
Barcelonès,N,FEM,13,16,"Hospitalet de Llobregat, l'",'17,37027.310000000005
Vallès Occidental,N,UBIC,40,61,Ripollet,'17,27132.8
Vallès Occidental,N,30P,40,3,Castellbisbal,'17,9170.07
Vallès Oriental,N,FEM,41,8,Granollers,'17,23751
Barcelonès,N,DONA,13,15,"Hospitalet de Llobregat, l'",'17,293077.5
Baix Llobregat,S,XIMP,11,1,Castelldefels,'17,32000
Vallès Occidental,N,FEM,40,3,Barberà del Vallès,'17,7521.7
Vallès Occidental,N,PRMI,40,7,Cerdanyola del Vallès,'17,81020.8
Barcelonès,N,REEM,13,5,Sant Adrià de Besòs,'17,1248.24
Barcelonès,S,SUMA,13,3,"Hospitalet de Llobregat, l'",'17,11515.47
Barcelonès,N,TB,13,2106,Barcelona,'17,4434403.67
Barcelonès,N,FPOS,13,716,Badalona,'17,250842
Vallès Oriental,N,FI45,41,1,Mollet del Vallès,'17,10800
Baix Llobregat,N,FEM,11,3,Sant Andreu de la Barca,'17,8845.2
Vallès Oriental,N,TRFO,41,21,Mollet del Vallès,'17,254520
Vallès Occidental,N,FOQ,40,60,Badia del Vallès,'17,175747.5
Baix Llobregat,N,COOR,11,2,Sant Feliu de Llobregat,'17,56000
Baix Llobregat,S,SUMA,11,5,Cornellà de Llobregat,'17,17100.72
Vallès Oriental,N,TRFO,41,7,Canovelles,'17,87733.8
Barcelonès,N,DONA,13,16,Badalona,'17,309751.1
Baix Llobregat,N,TRFO,11,16,Castelldefels,'17,206752.8
Baix Llobregat,S,JENP,11,5,Sant Boi de Llobregat,'17,55000
Baix Llobregat,N,DONA,11,1,Esparreguera,'17,18820
Barcelonès,N,CIF,13,147,Santa Coloma de Gramenet,'17,113838.12000000001
Baix Llobregat,N,COOR,11,2,Cornellà de Llobregat,'17,44333.33
Baix Llobregat,N,FEM,11,2,Abrera,'17,6747.9
Baix Llobregat,S,SUMA,11,1,Molins de Rei,'17,2948.4
Barcelonès,S,PIGJ,13,40,Santa Coloma de Gramenet,'17,193696.47999999998
Vallès Occidental,N,FEM,40,31,Rubí,'17,68600.3
Baix Llobregat,N,FEM,11,1,Molins de Rei,'17,2457
Vallès Occidental,N,TB,40,74,Rubí,'17,134268.26
Baix Llobregat,N,TB,11,412,Esplugues de Llobregat,'17,234353.49
Vallès Oriental,N,FOQ,41,45,Sant Celoni,'17,85932
Baix Llobregat,N,FEM,11,7,Castelldefels,'17,26044.2
Baix Llobregat,N,PRMI,11,7,Viladecans,'17,75460
Vallès Occidental,S,XIMP,40,1,Sant Cugat del Vallès,'17,32000
Baix Llobregat,N,PRMI,11,7,Gavà,'17,75460
Vallès Occidental,S,JENP,40,4,Castellar del Vallès,'17,44000
Vallès Occidental,N,DONA,40,6,Rubí,'17,115153.2
Baix Llobregat,N,FOQ,11,15,Vallirana,'17,34857
Vallès Occidental,N,CC,40,30,Cerdanyola del Vallès,'17,73147.5
Vallès Occidental,N,PI30,40,100,Terrassa,'17,368690.08
Baix Llobregat,N,TRFO,11,26,Sant Boi de Llobregat,'17,330830.6
Barcelonès,N,COOR,13,3,Barcelona,'17,84000
Baix Llobregat,N,30P,11,1,Corbera de Llobregat,'17,4856.01
Vallès Oriental,N,FEM,41,1,Parets del Vallès,'17,3570.51
Vallès Occidental,S,SUMA,40,2,Sabadell,'17,4709.25
Vallès Occidental,S,PIGJ,40,15,Rubí,'17,83250
Vallès Occidental,S,FEM,40,100,Terrassa,'17,440000
Baix Llobregat,N,AODL,11,2,Sant Vicenç dels Horts,'17,54091.1
Vallès Occidental,N,FI45,40,4,Terrassa,'17,24294.38
Vallès Occidental,N,COOR,40,1,Cerdanyola del Vallès,'17,28000
Vallès Occidental,N,PI30,40,100,Cerdanyola del Vallès,'17,153919.55
Vallès Oriental,N,30P,41,1,Caldes de Montbui,'17,2457
Vallès Occidental,N,ENFE,40,6,Barberà del Vallès,'17,123824.1
Vallès Oriental,N,FEM,41,3,Lliçà de Vall,'17,9686.48
Baix Llobregat,N,DAM,11,75,Castelldefels,'17,264390
Vallès Oriental,N,DONA,41,1,Cardedeu,'17,19523.5
Vallès Occidental,N,ENFE,40,31,Terrassa,'17,844952.06
Vallès Occidental,S,XIMP,40,1,Rubí,'17,32000
Baix Llobregat,N,TRFO,11,13,Gavà,'17,165229
Baix Llobregat,N,ENFE,11,6,Sant Joan Despí,'17,132319.84
Vallès Occidental,N,30P,40,2,Matadepera,'17,6158.88
Baix Llobregat,N,AODL,11,3,Cornellà de Llobregat,'17,81136.65000000001
Barcelonès,N,CCFI,13,60,Barcelona,'17,203238
Baix Llobregat,N,FPOS,11,627,"Prat de Llobregat, el",'17,189575
Baix Llobregat,N,TRFO,11,17,"Prat de Llobregat, el",'17,215423.9
Baix Llobregat,S,JENP,11,1,Sant Climent de Llobregat,'17,11000
Baix Llobregat,N,FI45,11,1,Martorell,'17,10800
Vallès Oriental,S,PIGJ,41,110,Granollers,'17,548803.5
Vallès Oriental,S,SUMA,41,1,Granollers,'17,2063.88
Baix Llobregat,N,DONA,11,13,Sant Boi de Llobregat,'17,249835.3
Vallès Occidental,N,SAC,40,32,Cerdanyola del Vallès,'17,15200
Baix Llobregat,N,DONA,11,1,Sant Joan Despí,'17,18820
Baix Llobregat,N,ENFE,11,9,"Prat de Llobregat, el",'17,222633.25
Baix Llobregat,N,SAC,11,192,Cornellà de Llobregat,'17,91200
Vallès Oriental,N,FEM,41,4,Montornès del Vallès,'17,11302.2
Vallès Occidental,N,TRFO,40,20,Sant Cugat del Vallès,'17,236300
Vallès Occidental,N,DAM,40,45,Terrassa,'17,90798
Vallès Occidental,N,IPIS,40,125,Montcada i Reixac,'17,61096.21
Vallès Occidental,N,FEM,40,22,Montcada i Reixac,'17,65970.78
Barcelonès,S,PIGJ,13,414,Barcelona,'17,2136223.34
Vallès Occidental,S,JENP,40,4,Sant Cugat del Vallès,'17,44000
Baix Llobregat,N,DAM,11,165,"Prat de Llobregat, el",'17,222318
Baix Llobregat,N,AODL,11,1,Sant Just Desvern,'17,27045.55
Baix Llobregat,N,30P,11,1,Molins de Rei,'17,5674.2
Baix Llobregat,N,DONA,11,1,Martorell,'17,19549
Vallès Occidental,S,SUMA,40,4,Barberà del Vallès,'17,7862.4
Barcelonès,N,AODL,13,10,Santa Coloma de Gramenet,'17,262999.1
Vallès Oriental,N,FEM,41,3,Cardedeu,'17,7163.52
Vallès Oriental,N,TRFO,41,6,Sant Celoni,'17,78704.8
Baix Llobregat,N,IPIS,11,125,Esplugues de Llobregat,'17,61096.21
Vallès Occidental,N,30P,40,80,Sabadell,'17,352000
Vallès Occidental,N,PRMI,40,7,Badia del Vallès,'17,75565
Vallès Oriental,N,TRFO,41,6,Montornès del Vallès,'17,79774
Vallès Occidental,N,COOR,40,1,Montcada i Reixac,'17,28000
Vallès Occidental,N,CCFI,40,15,Terrassa,'17,27084
Barcelonès,S,TLN,13,54,Barcelona,'17,481082
Vallès Oriental,N,CC,41,24,Granollers,'17,104971.2
Vallès Occidental,N,CC,40,30,Sant Cugat del Vallès,'17,66606
Vallès Occidental,S,JENP,40,5,Cerdanyola del Vallès,'17,55000
Baix Llobregat,N,FOQ,11,225,Sant Just Desvern,'17,512563.5
Vallès Occidental,N,TB,40,6,Montcada i Reixac,'17,81738.95999999999
Barcelonès,N,APRE,13,123,Barcelona,'17,183328.5
Vallès Oriental,N,FOQ,41,480,Mollet del Vallès,'17,1027777.5
Baix Llobregat,N,FEM,11,19,Cornellà de Llobregat,'17,60604.58
Vallès Occidental,N,FEM,40,30,Cerdanyola del Vallès,'17,46404.54
Vallès Occidental,N,FPOS,40,117,Sant Cugat del Vallès,'17,31280
Vallès Occidental,N,FEM,40,2,Polinyà,'17,2653.56
Baix Llobregat,N,FPOS,11,193,Castelldefels,'17,46600
Barcelonès,N,PI30,13,25,Badalona,'17,65125
Baix Llobregat,N,30P,11,11,Cornellà de Llobregat,'17,43934.21
Vallès Oriental,N,30P,41,2,Sant Fost de Campsentelles,'17,5896.8
Vallès Occidental,S,XIMP,40,2,Sabadell,'17,42666.67
Vallès Occidental,N,30P,40,2,Sentmenat,'17,10769.03
Vallès Occidental,N,FOQ,40,375,Rubí,'17,924192
Barcelonès,S,PIGJ,13,85,"Hospitalet de Llobregat, l'",'17,490722.78
Vallès Oriental,N,SAC,41,24,Sant Celoni,'17,11400
Vallès Occidental,N,FI45,40,1,Barberà del Vallès,'17,10800
Barcelonès,N,ENFE,13,6,Sant Adrià de Besòs,'17,91145.27
Baix Llobregat,S,XIMP,11,1,Sant Boi de Llobregat,'17,21333.329999999998
Vallès Occidental,N,TRFO,40,27,Rubí,'17,334075.6
Vallès Occidental,N,SAC,40,32,Montcada i Reixac,'17,15200
Barcelonès,N,FPOS,13,417,"Hospitalet de Llobregat, l'",'17,156356
Baix Llobregat,N,30P,11,40,Viladecans,'17,176000
Baix Llobregat,N,DONA,11,3,Esplugues de Llobregat,'17,56460
Vallès Occidental,N,CC,40,15,Rubí,'17,131214
Vallès Oriental,N,30P,41,1,"Garriga, la",'17,2948.4
Baix Llobregat,N,FPOT,11,60,Pallejà,'17,12960
Baix Llobregat,N,30P,11,1,Begues,'17,4422.6
Baix Llobregat,N,AODL,11,1,Pallejà,'17,25518.25
Barcelonès,N,DONA,13,12,Santa Coloma de Gramenet,'17,225840
Vallès Occidental,N,DONA,40,3,Cerdanyola del Vallès,'17,58570.5
Vallès Occidental,N,PRMI,40,6,Santa Perpètua de Mogoda,'17,66020
Vallès Occidental,N,30P,40,1,Rellinars,'17,3931.2
Baix Llobregat,N,DONA,11,2,Sant Vicenç dels Horts,'17,38394.8
Barcelonès,S,SUMA,13,6,Badalona,'17,9478.56
Vallès Occidental,N,REEM,40,30,Sabadell,'17,7489.44
Barcelonès,N,30P,13,2,Sant Adrià de Besòs,'17,8333.07
Vallès Oriental,S,FEM,41,41,Granollers,'17,180888
Baix Llobregat,S,JENP,11,4,Molins de Rei,'17,44000
Baix Llobregat,N,FOQ,11,120,Molins de Rei,'17,191488.5
Baix Llobregat,N,30P,11,20,Sant Boi de Llobregat,'17,88000
Baix Llobregat,N,FEM,11,12,Sant Boi de Llobregat,'17,31862.6
Vallès Occidental,N,UBIC,40,350,Sabadell,'17,153080
Baix Llobregat,N,30P,11,1,Sant Feliu de Llobregat,'17,4422.6
Baix Llobregat,N,DONA,11,4,"Prat de Llobregat, el",'17,78094
Barcelonès,N,REEM,13,20,Santa Coloma de Gramenet,'17,4992.96
Baix Llobregat,N,TRFO,11,28,Cornellà de Llobregat,'17,354782.4
Baix Llobregat,S,FEM,11,28,Sant Feliu de Llobregat,'17,123200
Barcelonès,S,SUMA,13,1,Santa Coloma de Gramenet,'17,982.8
Vallès Occidental,N,DONA,40,1,Castellar del Vallès,'17,19538.5
Baix Llobregat,S,XIMP,11,1,Cornellà de Llobregat,'17,31442.2
Vallès Occidental,N,UBIC,40,141,Sant Cugat del Vallès,'17,62716.8
Barcelonès,N,TB,13,1081,Santa Coloma de Gramenet,'17,2381629.58
Baix Llobregat,S,JENP,11,5,Sant Joan Despí,'17,55000
Baix Llobregat,N,REEM,11,10,Cornellà de Llobregat,'17,2496.48
Baix Llobregat,N,TRFO,11,12,Esplugues de Llobregat,'17,155577.2
Barcelonès,N,IPIS,13,250,Santa Coloma de Gramenet,'17,122192.42
Vallès Occidental,N,TRFO,40,15,Ripollet,'17,184912
Vallès Oriental,N,30P,41,20,Mollet del Vallès,'17,88000
Baix Llobregat,N,FOQ,11,90,Sant Esteve Sesrovires,'17,171801
Baix Llobregat,S,JENP,11,5,Castelldefels,'17,55000
Barcelonès,N,CIF,13,525,Barcelona,'18,265913.6
Vallès Occidental,N,PRMI,40,5,Barberà del Vallès,'18,49924
Vallès Occidental,S,PSGJ,40,20,Ripollet,'18,42948
Baix Llobregat,N,ENFE,11,11,"Prat de Llobregat, el",'18,307757.67
Vallès Occidental,S,PSGJ,40,208,Terrassa,'18,1352463.8900000001
Barcelonès,N,PRMI,13,43,Badalona,'18,470597.3
Baix Llobregat,N,IPIS,11,125,Sant Vicenç dels Horts,'18,60000
Vallès Occidental,N,30P,40,2,Cerdanyola del Vallès,'18,7247.120000000001
Vallès Occidental,S,NOGJ,40,45,Sabadell,'18,483380.68
Baix Llobregat,N,TRFO,11,33,Sant Feliu de Llobregat,'18,427632.8
Baix Llobregat,N,IPIS,11,125,Sant Feliu de Llobregat,'18,60000
Vallès Oriental,S,REFE,41,2,Granollers,'18,64000
Barcelonès,N,IPIS,13,125,Sant Adrià de Besòs,'18,60000
Barcelonès,N,COOR,13,1,Sant Adrià de Besòs,'18,32528.960000000003
Baix Llobregat,N,30P,11,5,Sant Just Desvern,'18,15696.91
Vallès Occidental,N,TRFO,40,103,Terrassa,'18,1398613.6
Vallès Occidental,S,JENP,40,4,Castellar del Vallès,'18,44000
Vallès Occidental,N,COOR,40,1,Cerdanyola del Vallès,'18,32528.960000000003
Vallès Oriental,S,JENP,41,4,Sant Celoni,'18,44000
Vallès Oriental,S,FEM,41,1,Llinars del Vallès,'18,3791.32
Vallès Oriental,S,PSGJ,41,12,Cardedeu,'18,93797.11
Barcelonès,N,TRFO,13,59,Santa Coloma de Gramenet,'18,711714.8
Vallès Oriental,S,FEM,41,1,Santa Eulàlia de Ronçana,'18,3184.2
Vallès Oriental,N,30P,41,4,Lliçà de Vall,'18,24389.649999999998
Baix Llobregat,N,PIN,11,150,Castelldefels,'18,99917.6
Baix Llobregat,N,DONA,11,1,Olesa de Montserrat,'18,19652.8
Barcelonès,S,FEM,13,6,Sant Adrià de Besòs,'18,16609.84
Vallès Occidental,S,FEM,40,5,Cerdanyola del Vallès,'18,15867.93
Barcelonès,N,PRMI,13,11,Sant Adrià de Besòs,'18,128460.8
Barcelonès,S,PSGJ,13,20,Sant Adrià de Besòs,'18,59853
Vallès Occidental,S,REFE,40,4,Terrassa,'18,128000
Vallès Occidental,N,30P,40,18,Rubí,'18,86640.04
Baix Llobregat,N,TB,11,100,Olesa de Montserrat,'18,45701.5
Baix Llobregat,N,IPIS,11,375,Cornellà de Llobregat,'18,180000
Vallès Occidental,N,DONA,40,3,Barberà del Vallès,'18,58094.4
Vallès Oriental,N,30P,41,14,Mollet del Vallès,'18,57636.340000000004
Baix Llobregat,N,SAC,11,80,Castelldefels,'18,40000
Baix Llobregat,N,REEM,11,5,Sant Vicenç dels Horts,'18,1248.24
Vallès Occidental,N,FI45,40,1,Cerdanyola del Vallès,'18,3004.92
Baix Llobregat,N,UBIC,11,40,Sant Joan Despí,'18,75491.35
Baix Llobregat,N,IPIS,11,125,Viladecans,'18,60000
Vallès Oriental,S,FEM,41,2,Martorelles,'18,7713.1900000000005
Vallès Occidental,N,ARIF,40,125,Terrassa,'18,64850
Vallès Occidental,N,DONA,40,7,Rubí,'18,134520.4
Barcelonès,N,ENFE,13,21,Badalona,'18,594234.26
Baix Llobregat,N,FPOS,11,2082,"Prat de Llobregat, el",'18,489009.29000000004
Barcelonès,N,REEM,13,22,Santa Coloma de Gramenet,'18,4992.96
Vallès Occidental,N,AMAP,40,60,Sabadell,'18,121500
Vallès Oriental,S,FEM,41,2,Caldes de Montbui,'18,7258.91
Barcelonès,S,TLN,13,25,Santa Coloma de Gramenet,'18,346712
Vallès Oriental,N,FOQ,41,45,Sant Celoni,'18,136977
Baix Llobregat,N,TB,11,225,Cornellà de Llobregat,'18,153272.84999999998
Baix Llobregat,N,PRMI,11,5,Martorell,'18,49258
Vallès Occidental,N,DONA,40,3,Sant Cugat del Vallès,'18,57651.6
Barcelonès,N,SAC,13,240,Badalona,'18,120000
Barcelonès,N,COOR,13,3,"Hospitalet de Llobregat, l'",'18,97586.88
Baix Llobregat,S,PSGJ,11,22,Castelldefels,'18,77655.56
Barcelonès,N,30P,13,30,Badalona,'18,132522.07
Vallès Oriental,N,TB,41,4,Caldes de Montbui,'18,54895.53
Vallès Occidental,N,ENFE,40,8,Barberà del Vallès,'18,230520.65
Barcelonès,N,FI45,13,3,Barcelona,'18,30907.8
Vallès Oriental,N,30P,41,4,Cardedeu,'18,24939.53
Baix Llobregat,N,REEM,11,11,Viladecans,'18,2496.48
Vallès Oriental,N,FI45,41,2,Lliçà de Vall,'18,20605.2
Barcelonès,N,FI45,13,1,"Hospitalet de Llobregat, l'",'18,10302.6
Vallès Oriental,N,ACOL,41,2,Granollers,'18,38729.6
Baix Llobregat,N,COOR,11,1,Castelldefels,'18,32528.960000000003
Baix Llobregat,N,TB,11,5,Gavà,'18,67311.9
Vallès Occidental,S,JENP,40,6,Sant Cugat del Vallès,'18,66000
Vallès Oriental,N,UBIC,41,101,Mollet del Vallès,'18,187598.76
Baix Llobregat,N,REEM,11,11,Cornellà de Llobregat,'18,2496.48
Baix Llobregat,N,TRFO,11,9,Sant Andreu de la Barca,'18,117949.2
Vallès Occidental,N,SAC,40,48,Sant Cugat del Vallès,'18,24000
Vallès Oriental,N,AODL,41,4,Mollet del Vallès,'18,117400.08
Barcelonès,N,MINA,13,1150,Barcelona,'18,250000
Vallès Oriental,N,COOR,41,1,Mollet del Vallès,'18,32528.960000000003
Vallès Occidental,N,ENFE,40,7,Montcada i Reixac,'18,209239.57
Baix Llobregat,S,JENP,11,3,Esparreguera,'18,33000
Baix Llobregat,N,30P,11,1,Sant Andreu de la Barca,'18,3184.65
Vallès Oriental,N,TB,41,258,Montornès del Vallès,'18,312539.7
Barcelonès,S,REFE,13,1,"Hospitalet de Llobregat, l'",'18,96000
Barcelonès,N,PIN,13,15,"Hospitalet de Llobregat, l'",'18,110553.38
Vallès Oriental,N,PIN,41,40,Mollet del Vallès,'18,49103.55
Barcelonès,N,PRMI,13,19,Santa Coloma de Gramenet,'18,224426.8
Baix Llobregat,N,FOQ,11,45,Sant Joan Despí,'18,116415
Vallès Occidental,S,JENP,40,21,Cerdanyola del Vallès,'18,231000
Baix Llobregat,S,FEM,11,1,Esplugues de Llobregat,'18,3714.9
Baix Llobregat,N,FOQ,11,45,Sant Andreu de la Barca,'18,152604
Baix Llobregat,N,TRFO,11,7,Sant Joan Despí,'18,92232
Vallès Occidental,N,FPOS,40,619,Sabadell,'18,156131.66
Vallès Occidental,S,PSGJ,40,20,Cerdanyola del Vallès,'18,192183
Baix Llobregat,N,30P,11,1,Corbera de Llobregat,'18,3219.79
Vallès Oriental,S,FEM,41,2,Parets del Vallès,'18,5837.7
Vallès Occidental,N,REEM,40,17,Rubí,'18,3744.72
Vallès Occidental,N,ENFE,40,11,Rubí,'18,307757.67
Vallès Occidental,N,UNIS,40,2834,Cerdanyola del Vallès,'18,374537.45
Vallès Oriental,N,FOQ,41,45,"Franqueses del Vallès, les",'18,101200.5
Barcelonès,N,AMAP,13,630,Barcelona,'18,929710.5
Baix Llobregat,N,30P,11,2,Sant Climent de Llobregat,'18,8967.44
Vallès Occidental,S,FEM,40,23,Rubí,'18,66920.16
Vallès Oriental,N,SAC,41,150,Granollers,'18,75000
Barcelonès,N,DONA,13,17,"Hospitalet de Llobregat, l'",'18,326692.4
Vallès Oriental,S,FEM,41,3,Lliçà de Vall,'18,11144.7
Vallès Occidental,N,UBIC,40,129,Terrassa,'18,240800.79
Barcelonès,N,ARIF,13,125,Santa Coloma de Gramenet,'18,64850
Vallès Occidental,N,COOR,40,2,Rubí,'18,65057.92
Vallès Occidental,N,30P,40,4,Matadepera,'18,13127.849999999999
Baix Llobregat,N,AODL,11,3,Gavà,'18,94128.12000000001
Barcelonès,N,FPOT,13,1830,Badalona,'18,291928.23000000004
Baix Llobregat,N,30P,11,30,Viladecans,'18,127672.72
Barcelonès,N,TB,13,264,"Hospitalet de Llobregat, l'",'18,906452.38
Vallès Oriental,N,IPIS,41,250,Mollet del Vallès,'18,120000
Baix Llobregat,S,JENP,11,1,Sant Climent de Llobregat,'18,11000
Baix Llobregat,N,FOQ,11,90,Sant Feliu de Llobregat,'18,252885
Baix Llobregat,N,AODL,11,1,Sant Just Desvern,'18,31376.04
Baix Llobregat,N,PRMI,11,10,Sant Feliu de Llobregat,'18,109480
Baix Llobregat,N,COOR,11,1,Martorell,'18,32528.960000000003
Vallès Oriental,N,SAC,41,28,Parets del Vallès,'18,14000
Barcelonès,N,TB,13,654,Badalona,'18,930662.3500000001
Barcelonès,S,JENP,13,200,Barcelona,'18,2200000
Vallès Occidental,N,UBIC,40,28,Cerdanyola del Vallès,'18,53227.810000000005
Baix Llobregat,N,30P,11,1,Vallirana,'18,5095.44
Vallès Oriental,S,JENP,41,1,Sant Feliu de Codines,'18,11000
Baix Llobregat,S,JENP,11,13,Sant Feliu de Llobregat,'18,143000
Vallès Occidental,N,CC,40,30,Rubí,'18,162804
Vallès Occidental,S,FEM,40,4,Barberà del Vallès,'18,11675.4
Baix Llobregat,N,SAC,11,78,Molins de Rei,'18,39000
Barcelonès,N,SAC,13,162,"Hospitalet de Llobregat, l'",'18,81000
Baix Llobregat,S,FEM,11,8,Viladecans,'18,26623.09
Vallès Oriental,N,TRFO,41,5,"Llagosta, la",'18,61963.5
Vallès Occidental,N,CIF,40,282,Sabadell,'18,275530.78
Vallès Occidental,N,FI45,40,1,Santa Perpètua de Mogoda,'18,2575.65
Baix Llobregat,S,JENP,11,15,"Prat de Llobregat, el",'18,165000
Baix Llobregat,N,AMAP,11,15,Sant Esteve Sesrovires,'18,14601
Barcelonès,N,30P,13,245,Barcelona,'18,1044349.8
Baix Llobregat,N,ENFE,11,5,Sant Joan Despí,'18,146586.74000000002
Vallès Occidental,N,30P,40,6,Castellbisbal,'18,26860.05
Baix Llobregat,N,TB,11,116,Sant Joan Despí,'18,224500.31999999998
Baix Llobregat,N,REEM,11,11,Esplugues de Llobregat,'18,2496.48
Vallès Occidental,N,TB,40,312,Terrassa,'18,1102950.5
Baix Llobregat,N,ENFE,11,24,Sant Feliu de Llobregat,'18,671628.75
Barcelonès,N,TB,13,2109,Barcelona,'18,4575445.1899999995
Vallès Oriental,N,TRFO,41,7,Canovelles,'18,92404.5
Vallès Oriental,N,DONA,41,4,Mollet del Vallès,'18,76868.8
Baix Llobregat,N,COOR,11,1,Viladecans,'18,32528.960000000003
Baix Llobregat,N,ACOL,11,1,Castelldefels,'18,19202.8
Baix Llobregat,N,SAC,11,78,Esplugues de Llobregat,'18,39000
Vallès Occidental,N,IPIS,40,625,Sabadell,'18,300000
Barcelonès,N,ARIF,13,125,"Hospitalet de Llobregat, l'",'18,64850
Barcelonès,N,30P,13,494,Barcelona,'18,2102344.17
Baix Llobregat,S,JENP,11,4,Sant Just Desvern,'18,44000
Vallès Occidental,N,AODL,40,3,Rubí,'18,87252.33
Vallès Oriental,N,ARIF,41,125,Mollet del Vallès,'18,64850
Barcelonès,N,TRFO,13,79,"Hospitalet de Llobregat, l'",'18,1002258.8
Vallès Oriental,N,FI45,41,1,Parets del Vallès,'18,10302.6
Vallès Oriental,N,TB,41,22,"Franqueses del Vallès, les",'18,230681.24000000002
Baix Llobregat,N,ENFE,11,7,Esplugues de Llobregat,'18,149518.67
Baix Llobregat,N,DONA,11,5,"Prat de Llobregat, el",'18,99380
Vallès Oriental,S,JENP,41,3,Parets del Vallès,'18,33000
Vallès Oriental,N,DONA,41,16,Granollers,'18,309365.2
Vallès Occidental,N,TRFO,40,14,Cerdanyola del Vallès,'18,190346.6
Baix Llobregat,N,AMAP,11,15,Cornellà de Llobregat,'18,24583.5
Baix Llobregat,N,UBIC,11,22,Castelldefels,'18,40005.729999999996
Vallès Occidental,S,NOGJ,40,45,Terrassa,'18,483380.69
Baix Llobregat,N,30P,11,20,Sant Boi de Llobregat,'18,85115.15000000001
Vallès Occidental,N,30P,40,80,Sabadell,'18,340460.59
Barcelonès,N,CIF,13,60,"Hospitalet de Llobregat, l'",'18,105510
Vallès Oriental,N,30P,41,2,Montornès del Vallès,'18,7755.6
Vallès Occidental,S,JENP,40,4,Palau-solità i Plegamans,'18,44000
Vallès Occidental,N,SAC,40,48,Montcada i Reixac,'18,24000
Baix Llobregat,N,REEM,11,27,Martorell,'18,6241.2
Baix Llobregat,S,PSGJ,11,22,Gavà,'18,77655.56
Vallès Oriental,N,FPOT,41,185,Mollet del Vallès,'18,49784.340000000004
Baix Llobregat,N,30P,11,20,Sant Feliu de Llobregat,'18,85115.15000000001
Baix Llobregat,S,DPGJ,11,220,Cornellà de Llobregat,'18,72432
Baix Llobregat,N,AODL,11,1,Sant Joan Despí,'18,31164.38
Baix Llobregat,N,UBIC,11,30,Viladecans,'18,54620.17
