municipio;perc_abst;1rpartit;2npartit;Nom comarca;PSC.perc;Poblacio
Roda de Ter;42.94;JxCat;ERC;Osona;9.713622291021672;6490
Rubí;53.83;PSC;ERC;Vallès Occidental;29.266259032796;78591
Rubió;39.09;ERC;JxCat;Anoia;5.932203389830509;239
Sabadell;47.28;PSC;ERC;Vallès Occidental;27.0053142386667;216520
Sagàs;23.93;JxCat;ERC;Berguedà;3.4090909090909087;145
Sant Pere Sallavinera;15.45;JxCat;ERC;Anoia;2.9702970297029703;151
Saldes;31.54;JxCat;ERC;Berguedà;5.232558139534884;278
Sallent;44.75;ERC;JxCat;Bages;18.105849582172702;6735
Santpedor;38.44;ERC;JxCat;Bages;13.480885311871226;7604
Sant Iscle de Vallalta;44.23;JxCat;ERC;Maresme;9.892086330935252;1342
Sant Adrià de Besòs;59.36;PSC;ERC;Barcelonès;34.09472955601701;37447
Sant Agustí de Lluçanès;28.75;JxCat;ERC;Osona;1.9607843137254901;89
Sant Andreu de la Barca;50.29;PSC;ERC;Baix Llobregat;36.71335981601505;27569
Sant Andreu de Llavaneres;43.06;JxCat;ERC;Maresme;16.01493848857645;11133
Sant Antoni de Vilamajor;41.66;JxCat;ERC;Vallès Oriental;13.30157566874313;6208
Sant Bartomeu del Grau;36.18;JxCat;ERC;Osona;14.215686274509803;884
Sant Boi de Llobregat;51.47;PSC;ERC;Baix Llobregat;35.60198871271164;84500
Sant Boi de Lluçanès;34.84;JxCat;ERC;Osona;9.310344827586208;580
Sant Celoni;46.3;JxCat;ERC;Vallès Oriental;18.469314079422382;18136
Sant Cebrià de Vallalta;49.07;JxCat;ERC;Maresme;14.655172413793101;3438
Sant Climent de Llobregat;41.44;PSC;ERC;Baix Llobregat;26.52054794520548;4160
Sant Cugat del Vallès;32.83;JxCat;ERC;Vallès Occidental;17.379316901575834;92977
Sant Cugat Sesgarrigues;28.48;ERC;JxCat;Alt Penedès;17.01720841300191;1009
Sant Esteve de Palautordera;31;JxCat;ERC;Vallès Oriental;4.492052522460263;2864
Sant Esteve Sesrovires;43.17;ERC;PSC;Baix Llobregat;24.962132687064525;7696
Sant Fost de Campsentelles;49.31;PSC;ERC;Vallès Oriental;23.908111174134998;8853
Sant Feliu de Codines;49.17;JxCat;ERC;Vallès Oriental;13.911205073995772;6363
Sant Feliu de Llobregat;42.31;PSC;ERC;Baix Llobregat;31.053852099974232;45467
Sant Feliu Sasserra;28.69;JxCat;ERC;Bages;4.491017964071856;605
Sant Fruitós de Bages;43.91;JxCat;ERC;Bages;14.401294498381878;8837
Vilassar de Dalt;41.07;JxCat;ERC;Maresme;13.777994157740995;9072
Sant Hipòlit de Voltregà;40.99;JxCat;ERC;Osona;11.55878467635403;3540
Sant Jaume de Frontanyà;47.83;ERC;PSC;Berguedà;33.33333333333333;30
Sant Joan Despí;40.63;PSC;ERC;Baix Llobregat;34.742067485074124;34267
Sant Joan de Vilatorrada;47.01;PSC;JxCat;Bages;23.541963015647227;10998
Vilassar de Mar;37.97;JxCat;ERC;Maresme;16.9076637058459;21035
Sant Julià de Vilatorta;24.75;JxCat;ERC;Osona;4.316546762589928;3140
Sant Just Desvern;33.88;PSC;JxCat;Baix Llobregat;22.185430463576157;18670
Sant Llorenç d'Hortons;33.96;ERC;JxCat;Alt Penedès;14.498757249378624;2428
Sant Llorenç Savall;44.81;ERC;JxCat;Vallès Occidental;12.112676056338028;2417
Sant Martí de Centelles;40.72;ERC;JxCat;Osona;11.500974658869396;1184
Sant Martí d'Albars;28.87;JxCat;ERC;Osona;0;114
Sant Martí de Tous;25.11;JxCat;ERC;Anoia;7.352941176470589;1228
Sant Martí Sarroca;43.23;JxCat;ERC;Alt Penedès;12.278106508875739;3261
Sant Martí Sesgueioles;30.31;JxCat;ERC;Anoia;6.770833333333333;342
Sant Mateu de Bages;27.49;JxCat;ERC;Bages;8.469945355191257;608
Premià de Dalt;40.12;JxCat;ERC;Maresme;19.71954425942156;10441
Sant Pere de Ribes;50.83;PSC;ERC;Garraf;26.980032483041942;31111
Sant Pere de Riudebitlles;42.1;ERC;JxCat;Alt Penedès;13.76953125;2380
Sant Pere de Torelló;40.83;JxCat;ERC;Osona;8.18926296633303;2470
Sant Pere de Vilamajor;46.37;ERC;JxCat;Vallès Oriental;12.817739318550567;4544
Sant Pol de Mar;34.56;JxCat;ERC;Maresme;10.808709175738725;5428
Sant Quintí de Mediona;44.56;ERC;JxCat;Alt Penedès;10.640732265446225;2317
