codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció.x,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres,Nom Província,Codi Comarca,Nom Comarca,Nom Municipi,Població,Cens electoral,Participació 13:00,perc_13_part_1,Participació 18.00,perc_18_part_1,Participació 20.00,perc_20_part_1,Abstenció.y,Vots nuls,Vots en blanc,Vots vàlids,C's17,Cs17_p,PP17,PP17_p,JUNTS17,JUNTS17_p,ECP17,ECP17_p,ERC17,ERC17_p,CUP17,CUP17_p,PSC17,PSC17_p
8022,Berga,14904,berga,Berga,12176,6464,53.09,5712,46.91,JxCat,ERC,CUP-G,PSC,14,Berguedà,6371,682,1524,2470,168,777,184,105,78,243,10.704755925286454,23.92089153978967,38.76942395228379,2.6369486736776016,12.195887615758908,2.888086642599278,1.648092921048501,1.2242975984931723,3.8141579029979598,80229,16760,8315,8445,Barcelona,14,Berguedà,Berga,16456,12192,4612,37.82808398950131,8601,70.54625984251969,9930,81.44685039370079,2262,41,36,9889,1012,10.233592880978867,244,2.467388006876327,4047,40.92425927798564,314,3.1752452219637983,2750,27.808676307007786,803,8.120133481646272,630,6.370714935787239
8023,Bigues i Riells,16500,bigues i riells,Bigues i Riells,7257,3655,50.37,3602,49.63,ERC,JxCat,PSC,CUP-G,41,Vallès Oriental,3592,624,1019,777,259,259,212,207,101,64,17.37193763919822,28.368596881959913,21.631403118040087,7.210467706013363,7.210467706013363,5.902004454342984,5.762806236080179,2.8118040089086858,1.7817371937639197,80235,9358,4779,4579,Barcelona,41,Vallès Oriental,Bigues i Riells,8854,6800,2298,33.794117647058826,4428,65.11764705882352,5724,84.1764705882353,1076,34,25,5690,1411,24.797891036906854,175,3.0755711775043935,1300,22.847100175746924,373,6.555360281195079,1527,26.836555360281196,258,4.534270650263621,554,9.736379613356766
8024,Borredà,13039,borredà,Borredà,363,232,63.91,131,36.09,JxCat,ERC,PSC,CUP-G,14,Berguedà,230,25,72,85,5,23,5,3,3,4,10.869565217391305,31.30434782608696,36.95652173913043,2.1739130434782608,10,2.1739130434782608,1.3043478260869565,1.3043478260869565,1.7391304347826086,80240,464,257,207,Barcelona,14,Berguedà,Borredà,540,369,131,35.50135501355013,259,70.18970189701898,315,85.36585365853658,54,0,1,315,19,6.031746031746032,6,1.9047619047619049,161,51.11111111111111,5,1.5873015873015872,69,21.904761904761905,29,9.206349206349207,24,7.6190476190476195
8025,"Bruc, El",17446,"bruc, el","Bruc, el",1615,884,54.74,731,45.26,ERC,PSC,PDeCAT,JxCat,6,Anoia,871,135,222,107,53,95,60,28,15,131,15.49942594718714,25.487944890929963,12.284730195177957,6.084959816303099,10.907003444316878,6.8886337543053955,3.214695752009185,1.7221584385763489,15.040183696900113,80253,2110,1128,982,Barcelona,6,Anoia,"Bruc, el",1991,1501,517,34.44370419720186,1089,72.55163224516988,1272,84.74350433044637,229,4,10,1268,220,17.350157728706623,40,3.1545741324921135,301,23.738170347003155,101,7.965299684542587,351,27.681388012618296,125,9.858044164037855,111,8.753943217665615
8026,"Brull, El",20073,"brull, el","Brull, el",201,152,75.62,49,24.38,JxCat,ERC,CUP-G,PDeCAT,24,Osona,152,4,33,72,7,19,2,2,2,9,2.631578947368421,21.710526315789476,47.368421052631575,4.605263157894736,12.5,1.3157894736842104,1.3157894736842104,1.3157894736842104,5.921052631578947,80266,258,142,116,Barcelona,24,Osona,"Brull, el",263,183,74,40.43715846994536,142,77.59562841530054,167,91.2568306010929,16,0,1,167,7,4.191616766467066,4,2.3952095808383236,103,61.67664670658682,2,1.1976047904191618,33,19.760479041916167,15,8.982035928143713,1,0.5988023952095809
8027,"Cabanyes, Les",17553,"cabanyes, les","Cabanyes, les",745,497,66.71,248,33.29,JxCat,ERC,PSC,CUP-G,3,Alt Penedès,489,65,109,161,26,52,19,11,10,21,13.29243353783231,22.290388548057262,32.92433537832311,5.316973415132924,10.633946830265849,3.885480572597137,2.2494887525562373,2.044989775051125,4.294478527607362,80272,979,499,480,Barcelona,3,Alt Penedès,"Cabanyes, les",961,696,218,31.321839080459768,514,73.85057471264368,606,87.06896551724138,90,2,1,604,100,16.55629139072848,15,2.4834437086092715,220,36.423841059602644,30,4.966887417218543,144,23.841059602649008,37,6.125827814569536,54,8.940397350993377
8028,Cabrera d'Anoia,12913,cabrera d'anoia,Cabrera d'Anoia,1153,522,45.27,631,54.73,ERC,PSC,VOX,JxCat,6,Anoia,516,122,133,60,62,21,40,34,23,3,23.643410852713178,25.775193798449614,11.627906976744185,12.015503875968992,4.069767441860465,7.751937984496124,6.5891472868217065,4.457364341085271,0.5813953488372093,80288,1482,795,687,Barcelona,6,Anoia,Cabrera d'Anoia,1363,1033,390,37.7541142303969,682,66.02129719264279,796,77.05711519845111,237,3,3,793,230,29.00378310214376,27,3.4047919293820934,111,13.997477931904163,57,7.187894073139975,179,22.57250945775536,33,4.16141235813367,136,17.150063051702396
8029,Cabrera de Mar,22723,cabrera de mar,Cabrera de Mar,3673,2446,66.59,1227,33.41,JxCat,ERC,PSC,PDeCAT,21,Maresme,2406,346,514,694,113,170,105,151,94,174,14.380714879467996,21.36325852036575,28.84455527847049,4.696591853699085,7.065669160432253,4.364089775561098,6.27597672485453,3.906899418121363,7.231920199501247,80291,4747,2381,2366,Barcelona,21,Maresme,Cabrera de Mar,4525,3528,1272,36.054421768707485,2602,73.75283446712018,3140,89.00226757369614,388,10,17,3130,548,17.507987220447284,92,2.939297124600639,1189,37.98722044728435,149,4.76038338658147,717,22.9073482428115,128,4.0894568690095845,270,8.626198083067091
8030,Cabrils,24769,cabrils,Cabrils,5297,3360,63.43,1937,36.57,JxCat,ERC,PSC,CUP-G,21,Maresme,3337,439,771,1077,179,192,146,159,126,180,13.15552891818999,23.104584956547797,32.27449805214264,5.364099490560383,5.753670961941864,4.375187293976626,4.764758765358106,3.7758465687743485,5.394066526820498,80305,7432,3667,3765,Barcelona,21,Maresme,Cabrils,7197,5129,1907,37.180736985767204,3737,72.86020666796647,4517,88.06784948333008,612,6,12,4511,846,18.75415650631789,105,2.3276435380181777,1719,38.10684992241188,196,4.344934604300599,1019,22.58922633562403,201,4.455774772777655,367,8.135668366215915
8031,Calaf,13315,calaf,Calaf,2314,1359,58.73,955,41.27,JxCat,ERC,PSC,CUP-G,6,Anoia,1327,225,295,479,42,78,53,43,19,64,16.955538809344386,22.230595327807084,36.096458176337606,3.1650339110776184,5.87792012057272,3.9939713639788996,3.2403918613413714,1.4318010550113038,4.822908816880181,80312,3656,1843,1813,Barcelona,6,Anoia,Calaf,3475,2362,860,36.40982218458933,1696,71.80355630821337,2018,85.43607112616426,344,7,8,2011,272,13.525609149676779,82,4.077573346593734,814,40.47737444057683,85,4.226752859273994,482,23.968175037294877,84,4.17702635504724,173,8.602685231228245
