codi,Municipi,RBM_pers17,mun,Nom.Municipi,Cens,Votants,perc_participacio,Abstenció,perc_abst,1rpartit,2npartit,3rpartit,4tpartit,Codi comarca,Nom comarca,Vots.valids,PSC,ERC,JxCAT,VOX,CUP,ECP,Cs,PP,PDeCAT,PSC.perc,ERC.perc,JxCAT.perc,VOX.perc,CUP.perc,ECP.perc,Cs.perc,PP.perc,PDeCAT.perc,CodiINE,Poblacio,Hombres,Mujeres
8028,Cabrera d'Anoia,12913,cabrera d'anoia,Cabrera d'Anoia,1153,522,45.27,631,54.73,ERC,PSC,VOX,JxCat,6,Anoia,516,122,133,60,62,21,40,34,23,3,23.643410852713178,25.775193798449614,11.627906976744185,12.015503875968992,4.069767441860465,7.751937984496124,6.5891472868217065,4.457364341085271,0.5813953488372093,80288,1482,795,687
8029,Cabrera de Mar,22723,cabrera de mar,Cabrera de Mar,3673,2446,66.59,1227,33.41,JxCat,ERC,PSC,PDeCAT,21,Maresme,2406,346,514,694,113,170,105,151,94,174,14.380714879467996,21.36325852036575,28.84455527847049,4.696591853699085,7.065669160432253,4.364089775561098,6.27597672485453,3.906899418121363,7.231920199501247,80291,4747,2381,2366
8030,Cabrils,24769,cabrils,Cabrils,5297,3360,63.43,1937,36.57,JxCat,ERC,PSC,CUP-G,21,Maresme,3337,439,771,1077,179,192,146,159,126,180,13.15552891818999,23.104584956547797,32.27449805214264,5.364099490560383,5.753670961941864,4.375187293976626,4.764758765358106,3.7758465687743485,5.394066526820498,80305,7432,3667,3765
8031,Calaf,13315,calaf,Calaf,2314,1359,58.73,955,41.27,JxCat,ERC,PSC,CUP-G,6,Anoia,1327,225,295,479,42,78,53,43,19,64,16.955538809344386,22.230595327807084,36.096458176337606,3.1650339110776184,5.87792012057272,3.9939713639788996,3.2403918613413714,1.4318010550113038,4.822908816880181,80312,3656,1843,1813
8032,Caldes d'Estrac,18837,caldes d'estrac,Caldes d'Estrac,2169,1276,58.83,893,41.17,JxCat,ERC,PSC,ECP-PEC,21,Maresme,1257,230,303,342,64,59,86,51,42,50,18.2975338106603,24.105011933174225,27.20763723150358,5.0914876690533015,4.6937151949085125,6.841686555290375,4.05727923627685,3.341288782816229,3.977724741447892,80327,3021,1442,1579
8033,Caldes de Montbui,16482,caldes de montbui,Caldes de Montbui,13372,7433,55.59,5939,44.41,ERC,JxCat,PSC,CUP-G,41,Vallès Oriental,7337,1375,1838,1747,450,678,414,294,184,216,18.74062968515742,25.051110808232245,23.810821861796374,6.133296987869701,9.24083412839035,5.6426332288401255,4.007087365408205,2.507836990595611,2.943982554177457,80333,17812,8873,8939
8034,Calders,17014,calders,Calders,837,557,66.55,280,33.45,JxCat,ERC,CUP-G,PDeCAT,42,Moianès,550,33,157,203,15,77,8,7,8,34,6,28.545454545454547,36.90909090909091,2.727272727272727,14.000000000000002,1.4545454545454546,1.2727272727272727,1.4545454545454546,6.181818181818182,80348,1045,530,515
8035,Calella,13169,calella,Calella,13072,6974,53.35,6098,46.65,JxCat,ERC,PSC,VOX,21,Maresme,6875,1205,1662,1806,490,455,367,304,202,227,17.527272727272727,24.174545454545456,26.26909090909091,7.127272727272728,6.618181818181817,5.338181818181818,4.421818181818182,2.9381818181818184,3.301818181818182,80351,19277,9399,9878
8036,Calonge de Segarra,14737,calonge de segarra,Calonge de Segarra,159,120,75.47,39,24.53,JxCat,ERC,PDeCAT,PSC,6,Anoia,117,9,31,45,1,9,1,2,0,17,7.6923076923076925,26.495726495726498,38.46153846153847,0.8547008547008548,7.6923076923076925,0.8547008547008548,1.7094017094017095,0,14.529914529914532,80364,188,92,96
8037,Calldetenes,16421,calldetenes,Calldetenes,1948,1295,66.48,653,33.52,JxCat,ERC,CUP-G,PSC,24,Osona,1280,61,307,611,31,151,23,19,8,35,4.765625,23.984375,47.734375,2.421875,11.796875,1.7968749999999998,1.484375,0.625,2.734375,80370,2513,1281,1232
